"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"202" "FACE_103" "1982" 108.413883400551 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"203" "FACE_104" "1988" 63.9978567477732 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"204" "FACE_104" "1988" 72.5265811405387 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"205" "FACE_105" "1982" 109.340564868825 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"206" "FACE_105" "1982" 77.9622326556705 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"207" "FACE_106" "1982" 344.245919256563 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"208" "FACE_106" "1982" 380.576248820242 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"209" "FACE_107" "1982" 109.440226557226 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"210" "FACE_107" "1982" 139.543349796296 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"211" "FACE_108" "1982" 58.843091498409 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"212" "FACE_108" "1982" 70.3185671053918 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"213" "FACE_109" "1981" 156.232024289127 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"214" "FACE_109" "1981" 168.258055776521 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"215" "FACE_110" "1983" 197.961953413916 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"216" "FACE_110" "1983" 190.197100076105 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"217" "FACE_111" "1982" 128.244547740249 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"218" "FACE_111" "1982" 141.874682063018 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"219" "FACE_112" "1982" 100.300172733592 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"220" "FACE_112" "1982" 111.093552650311 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"221" "FACE_113" "1982" 124.808472301258 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"222" "FACE_113" "1982" 101.750042509647 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"223" "FACE_114" "1982" 51.4934663108161 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"224" "FACE_114" "1982" 59.2347621136681 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"225" "FACE_115" "1982" 65.3107222882099 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"226" "FACE_115" "1982" 85.489453849161 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"227" "FACE_116" "1982" 60.1779678836648 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"228" "FACE_116" "1982" 55.2411904747708 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"229" "FACE_117" "1981" 129.82699108399 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"230" "FACE_117" "1981" 129.231481500132 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"231" "FACE_118" "1983" 194.851396669452 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"232" "FACE_118" "1983" 211.955598384772 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"233" "FACE_119" "1983" 343.202742061978 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"234" "FACE_119" "1983" 331.033740244253 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"235" "FACE_120" "1982" 115.390379449362 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"236" "FACE_120" "1982" 103.922685439618 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"237" "FACE_121" "1983" 294.971794436265 "ProjectScenario" "High_lead" 1983 "Logged" 24 2007 "FACE"
"238" "FACE_121" "1983" 317.111810721036 "ProjectScenario" "High_lead" 1983 "Logged" 27 2010 "FACE"
"239" "FACE_122" "1983" 238.026010767873 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"240" "FACE_122" "1983" 236.558016230146 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"241" "FACE_123" "1982" 64.0207593063563 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"242" "FACE_123" "1982" 101.886901605586 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"243" "FACE_124" "1982" 152.279717048665 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"244" "FACE_124" "1982" 146.696162303924 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"245" "FACE_125" "1982" 91.7949324427986 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"246" "FACE_125" "1982" 81.5731061712699 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"247" "FACE_126" "1983" 156.647842560929 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"248" "FACE_126" "1983" 142.060106435784 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"249" "FACE_127" "1981" 44.6264956705702 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"250" "FACE_127" "1981" 48.3082555055895 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"251" "FACE_128" "1981" 182.745291162606 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"252" "FACE_128" "1981" 192.826262806315 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"253" "FACE_129" "1981" 181.897364603745 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"254" "FACE_129" "1981" 196.955310501389 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"255" "FACE_130" "1982" 128.075296982266 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"256" "FACE_130" "1982" 107.319087740888 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"257" "FACE_131" "1981" 88.8277696688132 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"258" "FACE_131" "1981" 110.512450322476 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"259" "FACE_132" "1982" 94.5724753297481 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"260" "FACE_132" "1982" 79.1176069991452 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"261" "FACE_133" "1982" 68.6520052764191 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"262" "FACE_133" "1982" 63.3839888726124 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"263" "FACE_134" "1982" 110.471682714153 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"264" "FACE_134" "1982" 105.064862557215 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"265" "FACE_135" "1982" 63.879442488679 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"266" "FACE_135" "1982" 73.8497366300667 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"267" "FACE_136" "1981" 163.758322950973 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"268" "FACE_136" "1981" 139.414040336235 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"269" "FACE_137" "1983" 56.2085857075777 "ProjectScenario" "High_lead" 1983 "Logged" 27 2010 "FACE"
"270" "FACE_137" "1983" 42.0274395642035 "ProjectScenario" "High_lead" 1983 "Logged" 24 2007 "FACE"
"271" "FACE_138" "1982" 166.350936570154 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"272" "FACE_138" "1982" 187.027136497214 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"273" "FACE_139" "1983" 121.066893861649 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"274" "FACE_139" "1983" 134.34643960259 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"275" "FACE_140" "1983" 132.299718633824 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"276" "FACE_140" "1983" 127.998045750509 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"277" "FACE_141" "1987" 38.3485918796521 "ProjectScenario" "Tractor" 1987 "Logged" 20 2007 "FACE"
"278" "FACE_141" "1987" 46.1307589500777 "ProjectScenario" "Tractor" 1987 "Logged" 23 2010 "FACE"
"279" "FACE_142" "1990" 155.16334809393 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"280" "FACE_142" "1990" 136.711411261269 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"281" "FACE_143" "1989" 65.5596318419507 "ProjectScenario" "Tractor" 1989 "Logged" 26 2007 "FACE"
"282" "FACE_143" "1989" 24.2221141411697 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"283" "FACE_143" "1989" 36.8324339399144 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"292" "FACE_147" "1990" 100.226289831851 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"293" "FACE_147" "1990" 81.9627686089504 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"294" "FACE_148" "1988" 112.367521060177 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"295" "FACE_148" "1988" 117.442760595879 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"300" "FACE_151" "1987" 120.221940380072 "ProjectScenario" "High_lead" 1987 "Logged" 23 2010 "FACE"
"301" "FACE_151" "1987" 110.002813338891 "ProjectScenario" "High_lead" 1987 "Logged" 20 2007 "FACE"
"302" "FACE_152" "1988" 97.1859672918797 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"303" "FACE_152" "1988" 116.536796920134 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"304" "FACE_153" "1987" 86.5110519941673 "ProjectScenario" "High_lead" 1987 "Logged" 20 2007 "FACE"
"305" "FACE_153" "1987" 95.9282234840703 "ProjectScenario" "High_lead" 1987 "Logged" 23 2010 "FACE"
"308" "FACE_155" "1987" 87.1294296070089 "ProjectScenario" "Tractor" 1987 "Logged" 23 2010 "FACE"
"309" "FACE_155" "1987" 72.9108464809636 "ProjectScenario" "Tractor" 1987 "Logged" 20 2007 "FACE"
"310" "FACE_156" "1988" 102.731390140723 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"311" "FACE_156" "1988" 97.5781113323175 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"312" "FACE_157" "1987" 182.585038511401 "ProjectScenario" "High_lead" 1987 "Logged" 20 2007 "FACE"
"313" "FACE_157" "1987" 186.979242724257 "ProjectScenario" "High_lead" 1987 "Logged" 23 2010 "FACE"
"316" "FACE_159" "1989" 153.014227946639 "ProjectScenario" "Tractor" 1989 "Logged" 26 2007 "FACE"
"317" "FACE_159" "1989" 120.899107617703 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"318" "FACE_159" "1989" 105.067288677866 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"319" "FACE_160" "1989" 168.188076014752 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"320" "FACE_160" "1989" 231.681670439551 "ProjectScenario" "Tractor" 1989 "Logged" 26 2007 "FACE"
"321" "FACE_160" "1989" 198.827660056657 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"327" "FACE_163" "1990" 17.848264260547 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"328" "FACE_163" "1990" 35.3090121648685 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"329" "FACE_164" "1990" 124.336283430559 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"330" "FACE_164" "1990" 109.075855975318 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"331" "FACE_165" "1989" 48.5091723395951 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"332" "FACE_165" "1989" 46.4700245751603 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"333" "FACE_166" "1987" 108.517637411192 "ProjectScenario" "High_lead" 1987 "Logged" 23 2010 "FACE"
"334" "FACE_166" "1987" 96.5097230915288 "ProjectScenario" "High_lead" 1987 "Logged" 20 2007 "FACE"
"335" "FACE_167" "1987" 85.1577736142696 "ProjectScenario" "Tractor" 1987 "Logged" 23 2010 "FACE"
"336" "FACE_167" "1987" 72.9558243019959 "ProjectScenario" "Tractor" 1987 "Logged" 20 2007 "FACE"
"344" "FACE_171" "1989" 65.4234430500965 "ProjectScenario" "High_lead" 1989 "Logged" 18 2007 "FACE"
"345" "FACE_171" "1989" 74.4666362666171 "ProjectScenario" "High_lead" 1989 "Logged" 21 2010 "FACE"
"348" "FACE_173" "1988" 150.13863511312 "ProjectScenario" "Tractor" 1988 "Logged" 27 2007 "FACE"
"349" "FACE_173" "1988" 95.6248984392002 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"350" "FACE_173" "1988" 82.8231668126896 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"355" "FACE_176" "1990" 78.4403533593512 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"356" "FACE_176" "1990" 71.4600405164588 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"361" "FACE_179" "1990" 261.341518116901 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"362" "FACE_179" "1990" 280.572666052789 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"384" "FACE_189" "1987" 120.595594446262 "ProjectScenario" "High_lead" 1987 "Logged" 20 2007 "FACE"
"385" "FACE_189" "1987" 138.456209163622 "ProjectScenario" "High_lead" 1987 "Logged" 23 2010 "FACE"
"389" "FACE_191" "1989" 109.332559247174 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"390" "FACE_191" "1989" 127.355386158355 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"391" "FACE_192" "1981" 211.949299405043 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"392" "FACE_192" "1981" 191.241567536759 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"393" "FACE_193" "1990" 198.262950857094 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"394" "FACE_193" "1990" 171.765488653208 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"395" "FACE_194" "1981" 103.784215195267 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"396" "FACE_194" "1981" 115.278510873115 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"399" "FACE_196" "1987" 111.394096872799 "ProjectScenario" "Tractor" 1987 "Logged" 23 2010 "FACE"
"400" "FACE_196" "1987" 83.6273070148851 "ProjectScenario" "Tractor" 1987 "Logged" 20 2007 "FACE"
"401" "FACE_197" "1989" 94.7439528739104 "ProjectScenario" "High_lead" 1989 "Logged" 21 2010 "FACE"
"402" "FACE_197" "1989" 83.2462529739856 "ProjectScenario" "High_lead" 1989 "Logged" 18 2007 "FACE"
"406" "FACE_201" "1990" 103.726767795375 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"407" "FACE_201" "1990" 114.003146590517 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"408" "FACE_202" "1988" 157.020539759711 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"409" "FACE_202" "1988" 182.243551324286 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"412" "FACE_204" "1990" 175.929352755816 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"413" "FACE_204" "1990" 122.52525400673 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"414" "FACE_205" "1989" 126.194593516251 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"415" "FACE_205" "1989" 107.695212939252 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"416" "FACE_206" "1990" 206.026550062297 "ProjectScenario" "Tractor" 1990 "Logged" 20 2010 "FACE"
"417" "FACE_206" "1990" 183.275003821697 "ProjectScenario" "Tractor" 1990 "Logged" 17 2007 "FACE"
"422" "FACE_209" "1988" 164.122187970556 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"423" "FACE_209" "1988" 140.834392384156 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"424" "FACE_210" "1987" 73.895959253965 "ProjectScenario" "Tractor" 1987 "Logged" 20 2007 "FACE"
"425" "FACE_210" "1987" 83.6890272610047 "ProjectScenario" "Tractor" 1987 "Logged" 23 2010 "FACE"
"426" "FACE_211" "1990" 80.4854830411168 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"427" "FACE_211" "1990" 65.2792051519742 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"428" "FACE_212" "1990" 78.1440723701861 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"429" "FACE_212" "1990" 88.1504801000475 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"430" "FACE_213" "1990" 111.202690636393 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"431" "FACE_213" "1990" 88.4962938434471 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"435" "FACE_215" "1990" 71.833662692697 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"436" "FACE_215" "1990" 59.9998162099538 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"437" "FACE_216" "1990" 88.7593025322687 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"438" "FACE_216" "1990" 82.9223825791944 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"439" "FACE_217" "1990" 78.6041646393965 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"440" "FACE_217" "1990" 121.421857058758 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"441" "FACE_218" "1990" 164.019015219771 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"442" "FACE_218" "1990" 140.781343806715 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"445" "FACE_220" "1990" 114.073630927822 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"446" "FACE_220" "1990" 165.923971382217 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"447" "FACE_221" "1989" 68.4673511980403 "ProjectScenario" "High_lead" 1989 "Logged" 18 2007 "FACE"
"448" "FACE_221" "1989" 77.7427105330162 "ProjectScenario" "High_lead" 1989 "Logged" 21 2010 "FACE"
"451" "FACE_223" "1989" 63.7916861641984 "ProjectScenario" "High_lead" 1989 "Logged" 18 2007 "FACE"
"452" "FACE_223" "1989" 87.8328205137069 "ProjectScenario" "High_lead" 1989 "Logged" 21 2010 "FACE"
"453" "FACE_224" "1989" 102.663244324566 "ProjectScenario" "High_lead" 1989 "Logged" 18 2007 "FACE"
"454" "FACE_224" "1989" 132.312893436483 "ProjectScenario" "High_lead" 1989 "Logged" 21 2010 "FACE"
"457" "FACE_227" "1990" 102.169421378829 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"458" "FACE_227" "1990" 119.36828791979 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"459" "FACE_228" "1990" 130.675637653012 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"460" "FACE_228" "1990" 133.132026266379 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"461" "FACE_229" "1990" 159.767563852617 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"462" "FACE_229" "1990" 145.533432522417 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"463" "FACE_230" "1990" 152.366329112985 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"464" "FACE_230" "1990" 147.742272283522 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"465" "FACE_231" "1990" 178.181070431973 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"466" "FACE_231" "1990" 203.069103863973 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"467" "FACE_232" "1990" 254.216244273983 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"468" "FACE_232" "1990" 228.287038083532 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"471" "FACE_234" "1990" 173.310922087981 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"472" "FACE_234" "1990" 189.68712330053 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"473" "FACE_235" "1990" 173.506057412548 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"474" "FACE_235" "1990" 215.686335260845 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"475" "FACE_236" "1990" 151.005825497369 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"476" "FACE_236" "1990" 137.823014119116 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"477" "FACE_237" "1990" 196.121383981001 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"478" "FACE_237" "1990" 164.01651599588 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"479" "FACE_238" "1990" 148.110193590752 "ProjectScenario" "High_lead" 1990 "Logged" 17 2007 "FACE"
"480" "FACE_238" "1990" 150.623427765152 "ProjectScenario" "High_lead" 1990 "Logged" 20 2010 "FACE"
"483" "FACE_240" "1989" 345.663273985454 "ProjectScenario" "High_lead" 1989 "Logged" 18 2007 "FACE"
"484" "FACE_240" "1989" 351.582912290412 "ProjectScenario" "High_lead" 1989 "Logged" 21 2010 "FACE"
"485" "FACE_281" "1988" 15.9648131871244 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"486" "FACE_281" "1988" 17.3082843513495 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"487" "FACE_282" "1988" 91.1052011486422 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"488" "FACE_282" "1988" 73.9746012135509 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"489" "FACE_1001" "1991" 0.437805834444043 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"490" "FACE_1001" "1991" 1.66509195662258 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"495" "FACE_1004" "1991" 5.86707227756474 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"496" "FACE_1004" "1991" 11.2694223364192 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"497" "FACE_1004" "1991" 29.4152034120584 "Baseline" "Tractor" 1991 "Logged" 24 2007 "FACE"
"501" "FACE_1006" "1989" 89.9871335524081 "Baseline" "Tractor" 1989 "Logged" 21 2010 "FACE"
"502" "FACE_1006" "1989" 120.392587521056 "Baseline" "Tractor" 1989 "Logged" 26 2007 "FACE"
"503" "FACE_1006" "1989" 75.20273333821 "Baseline" "Tractor" 1989 "Logged" 18 2007 "FACE"
"504" "FACE_1007" "1981" 51.2199949231494 "Baseline" "High_lead" 1981 "Logged" 26 2007 "FACE"
"505" "FACE_1007" "1981" 54.5841885053088 "Baseline" "High_lead" 1981 "Logged" 29 2010 "FACE"
"509" "FACE_1009" "1991" 51.0018298939248 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"510" "FACE_1009" "1991" 45.6007334726837 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"513" "FACE_1011" "1991" 48.7923372285962 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"514" "FACE_1011" "1991" 66.7575866080926 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"515" "FACE_1012" "1981" 20.9891746099265 "Baseline" "Tractor" 1981 "Logged" 29 2010 "FACE"
"516" "FACE_1012" "1981" 16.5963643504171 "Baseline" "Tractor" 1981 "Logged" 26 2007 "FACE"
"519" "FACE_1014" "1991" 43.2471939450988 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"520" "FACE_1014" "1991" 53.4711885900043 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"521" "FACE_1015" "1988" 111.568136326975 "Baseline" "Tractor" 1988 "Logged" 27 2007 "FACE"
"522" "FACE_1015" "1988" 95.4767836529932 "Baseline" "Tractor" 1988 "Logged" 19 2007 "FACE"
"523" "FACE_1015" "1988" 121.737290300146 "Baseline" "Tractor" 1988 "Logged" 22 2010 "FACE"
"526" "FACE_1017" "1991" 97.964662752034 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"527" "FACE_1017" "1991" 65.9232085680909 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"531" "FACE_1019" "1991" 36.8205011549261 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"532" "FACE_1019" "1991" 35.8892614592439 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"537" "FACE_1022" "1981" 101.154850271512 "Baseline" "Tractor" 1981 "Logged" 26 2007 "FACE"
"538" "FACE_1022" "1981" 157.997829783193 "Baseline" "Tractor" 1981 "Logged" 29 2010 "FACE"
"541" "FACE_1024" "1981" 32.8373265338232 "Baseline" "Tractor" 1981 "Logged" 29 2010 "FACE"
"542" "FACE_1024" "1981" 24.1671812580571 "Baseline" "Tractor" 1981 "Logged" 26 2007 "FACE"
"546" "FACE_1026" "1991" 46.6108512282578 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"547" "FACE_1026" "1991" 52.9212608924174 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"553" "FACE_1029" "1981" 91.2187763423833 "Baseline" "High_lead" 1981 "Logged" 26 2007 "FACE"
"554" "FACE_1029" "1981" 103.940111667032 "Baseline" "High_lead" 1981 "Logged" 29 2010 "FACE"
"565" "FACE_1034" "1991" 130.454731676508 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"566" "FACE_1034" "1991" 189.296327293199 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"577" "FACE_1040" "1991" 81.4147638212226 "Baseline" "Tractor" 1991 "Logged" 16 2007 "FACE"
"578" "FACE_1040" "1991" 67.6000104808222 "Baseline" "Tractor" 1991 "Logged" 19 2010 "FACE"
"584" "FACE_1043" "1981" 93.5924030765477 "Baseline" "High_lead" 1981 "Logged" 26 2007 "FACE"
