"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"5100" "FACE_3" "1988" 39.0819560179288 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"6" "FACE_3" "1988" 27.1770583829441 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"7" "FACE_4" "1988" 41.4675677762568 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"810" "FACE_4" "1988" 40.9748591397374 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"910" "FACE_5" "1988" 56.8840098169705 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"10" "FACE_5" "1988" 70.9464891685931 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"1110" "FACE_6" "1988" 64.238088838367 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"12" "FACE_6" "1988" 76.2117706237678 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"1310" "FACE_7" "1981" 45.5368558044587 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"1410" "FACE_7" "1981" 39.2121317937258 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"1710" "FACE_9" "1988" 68.5151840147209 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"18" "FACE_9" "1988" 60.787779257573 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"1910" "FACE_10" "1988" 85.9122790623875 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"2010" "FACE_10" "1988" 82.2791667446241 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"2110" "FACE_11" "1988" 49.502427890239 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"22" "FACE_11" "1988" 57.1710163812231 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"23" "FACE_12" "1988" 105.072556879666 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"24" "FACE_12" "1988" 101.513881188186 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"2510" "FACE_13" "1988" 39.1455667361653 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"26" "FACE_13" "1988" 28.8192402310187 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"27" "FACE_14" "1988" 172.817508292537 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"28" "FACE_14" "1988" 158.251301421876 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"29" "FACE_15" "1981" 121.321688792128 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"30" "FACE_15" "1981" 135.487937863306 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"3110" "FACE_16" "1988" 85.0425718488965 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"32" "FACE_16" "1988" 96.4085141315772 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"3310" "FACE_17" "1988" 107.563514719941 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"3410" "FACE_17" "1988" 107.873400957963 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"3510" "FACE_18" "1988" 110.660767548162 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
